index,spectra index,chi_sq
2,900,10.017958486138836
10,908,68.82301905869254
17,915,54.61477501147434
24,922,30.126324863408694
25,923,23.131408705893357
26,924,31.09182010091773
33,931,14.528446559373874
35,933,19.695063413229324
37,935,15.57543848831512
38,936,53.563670347919164
40,938,9.254717298231311
44,942,15.85442950410255
49,947,8.510349210612468
51,949,52.90944197524383
62,960,19.916418291720685
105,1003,157.260862786361
124,1022,8.017000178571667
140,1038,13.757253071163278
141,1039,8.488739039349316
143,1041,13.667559341581404
160,1058,167.73161813812848
186,1084,252.9775849705495
199,1097,16.057563042113475
214,1112,160.21275129396201
218,1116,11.91207124839632
222,1120,42.29803161628561
230,1128,36.62067162286202
241,1139,16.795448160813702
244,1142,24.809881403252984
245,1143,36.672822601047066
249,1147,8.909842467827817
253,1151,61.1511797687693
264,1162,12.234641526103845
280,1178,9.209768868526826
285,1183,25.88386249089408
293,1191,30.023541470321323
302,1200,51.1920733011823
314,1212,17.90072901503049
317,1215,8.346146250334318
322,1220,24.591307091542202
330,1228,24.081946813781524
334,1232,113.33416351850319
355,1253,12.816781044084273
363,1261,20.12452113075358
364,1262,13.250541104469724
367,1265,12.635056311347961
371,1269,14.403467949988185
381,1279,15.590373350530228
382,1280,8.026628633185735
384,1282,20.628120119645455
394,1292,47.16172163960854
395,1293,20.73299326562842
413,1311,186.8449536174217
416,1314,23.775378460940054
427,1325,44.64726191920577
447,1345,10.123686582974372
473,1371,35.361089064451065
496,1394,18.990027837660847
498,1396,9.925468926597103
503,1401,20.341594058788957
532,1430,10.089817415339745
533,1431,10.248014204856792
540,1438,8.856430462835883
544,1442,9.903182714571233
559,1457,45.843991126624545
566,1464,12.391381022407542
570,1468,15.979296707333873
573,1471,13.655724980898853
579,1477,53.03746498548759
587,1485,8.220618639259941
612,1510,61.802198136595784
625,1523,25.147173019910127
