SPECTRA INDEX,SPECTRA FILE NAME,SDSS SNR,CALCULATED SNR
5,spec-2745-54231-0564-dered.dr16,24.2946,4.77685
11,spec-1793-53883-0520-dered.dr16,24.2946,9.98403
23,spec-8221-58198-0399-dered.dr16,24.2946,9.89571
26,spec-0885-52379-0063-dered.dr16,24.2946,8.65996
28,spec-1272-52989-0064-dered.dr16,24.2946,8.90818
37,spec-0790-52441-0583-dered.dr16,24.2946,7.54637
41,spec-6138-56236-0746-dered.dr16,24.2946,7.59623
44,spec-5745-56050-0657-dered.dr16,24.2946,4.79438
70,spec-1582-52939-0558-dered.dr16,24.2946,2.78634
72,spec-2785-54537-0175-dered.dr16,24.2946,8.48727
81,spec-1618-53116-0538-dered.dr16,24.2946,9.24015
87,spec-1713-53827-0211-dered.dr16,24.2946,8.18429
