spectra index,chi_sq
1,14.833259994061898
2,27.57440891614366
3,31.638136523164587
4,12.878469970665405
5,5.960736131685195
6,25.40382684359755
7,9.52041976958726
8,18.614106199245384
9,7.89445145182219
10,9.288229284116348
11,16.34969906537063
12,11.460479391081286
13,18.56274148928011
14,21.823794873708763
15,10.632205380124473
16,11.915540650572224
17,19.649532198906538
18,5.86911389977017
19,9.938775734650442
20,10.65234503632978
21,6.991325583320815
22,14.557347426185167
23,66.79821681174116
24,14.803655176818088
25,10.171782080634731
26,20.719433380449463
27,3.523872744162137
28,20.761037550858585
29,9.589121331152505
30,8.920533495695972
31,24.363356203124226
32,12.509123931371818
33,8.636075743039887
34,9.813264777681724
35,28.5370574743876
36,3.498238512644975
37,8.988791071843512
38,9.316337277831263
39,22.453328407893547
40,4.221488172879516
41,8.524497267324676
42,9.635659819721885
43,15.246800642776506
44,11.203343308448721
45,16.442189931170734
46,27.04185626291759
47,7.595799279704732
48,14.5980662113837
49,13.464085098933541
50,11.645622932709173
51,19.049039604928616
52,3.994149542075153
53,9.525572715136901
54,7.431202666608412
55,21.277096330591682
56,7.05071233038109
57,44.01175380061895
58,10.989464439777134
59,16.762854832375012
60,17.0482813576089
61,14.063109134501682
62,13.004812356792293
63,10.011876550174563
64,5.948758040217146
65,13.955511066693436
66,15.662758462333013
67,27.226157256942994
68,11.450791595639615
69,8.668071685797258
70,21.215320118644456
71,14.48239895843268
72,6.109456481495785
73,11.6919731639994
74,29.098740754700145
75,19.33890616995312
76,12.68309006410542
77,11.151323538377586
78,24.95945768707761
79,10.36972392035654
80,16.31377198058277
81,12.397940932169774
82,24.795541241971247
83,10.910482469984988
84,8.376418162493515
85,14.616350515712337
86,11.410723845909647
87,16.066750248412273
88,153.30747762297824
89,20.3749658340132
90,17.474530848169536
91,6.834621050998786
92,23.554204081484084
93,12.041771235591277
94,9.635664096227119
95,10.549075953096454
96,11.423649437421705
97,22.243726565602028
98,10.978412977698706
99,27.96105791662405
100,13.778751324706684
