1020,spec-5780-56274-0038-dered.dr16,804330925.2599952,-2.0376677095879434
1088,spec-5890-56037-0317-dered.dr16,9099431.914605705,-1.5445028482619816
1124,spec-4686-56013-0995-dered.dr16,36047452623.03,-2.4594195621263233
1132,spec-6003-56311-0298-dered.dr16,121971360.16501923,-1.9389271987335353
1139,spec-7299-56686-0562-dered.dr16,94583.0600553337,-1.1449929756368227
1209,spec-6621-56366-0216-dered.dr16,328151.06573994743,-1.1934291881886372
1272,spec-6740-56401-0060-dered.dr16,282135729.51832443,-1.9194371070014795
1354,spec-8749-57684-0377-dered.dr16,34.71984711497281,-0.0715318122357816
1399,spec-5169-56045-0964-dered.dr16,2653437310.203568,-2.319701512538991
1453,spec-8758-58139-0174-dered.dr16,134.86976796746399,-0.24451340476652375
1469,spec-5778-56328-0302-dered.dr16,7615292.740389124,-1.4347449893954045
1475,spec-6746-56386-0100-dered.dr16,540251.6691830915,-1.3291803773071122
1671,spec-9146-58042-0045-dered.dr16,2.9504686867910165e-05,1.4532058627401074
1811,spec-8225-57375-0694-dered.dr16,89412810.88602085,-1.9078943072622625
1872,spec-8394-57865-0659-dered.dr16,175563.55020422288,-1.2305338260769076
1876,spec-6411-56331-0007-dered.dr16,590177.4735403088,-1.2932560128502006
1879,spec-7088-56657-0050-dered.dr16,12297510.125990758,-1.4619491158615106
1949,spec-6628-56366-0822-dered.dr16,719960503.0769448,-2.2142579233792223
1999,spec-8840-57425-0269-dered.dr16,236220258.14027545,-2.0734909135582376
